CHNL_CD	CUST_CD	PD_CD	PD_NM	DT	SALES	AMT	DC	UNIT_PRICE	STORE_PRICE
SELL-IN	A	100 	가	20170817	2,694,588 	3,588 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170818	3,010,008 	4,008 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170819	6,849,120 	9,120 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170820	0 	0 			
SELL-IN	A	100 	가	20170821	315,420 	420 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170822	2,433,240 	3,240 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170823	1,802,400 	2,400 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170824	1,360,812 	1,812 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170825	468,624 	624 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170826	7,319,946 	9,984 	35.7%	733 	1,140 
SELL-IN	A	100 	가	20170827	0 	0 			
SELL-IN	A	100 	가	20170828	-27,036 	3,552 	100.7%	-8 	1,140 
SELL-IN	A	100 	가	20170829	7,267,005 	9,900 	35.6%	734 	1,140 
SELL-IN	A	100 	가	20170830	3,134,592 	4,392 	37.4%	714 	1,140 
SELL-IN	A	100 	가	20170831	5,037,708 	6,708 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170901	1,631,172 	2,172 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170902	4,397,856 	5,856 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170903	0 	0 			
SELL-IN	A	100 	가	20170904	0 	0 			
SELL-IN	A	100 	가	20170905	4,154,532 	5,532 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170906	2,117,820 	2,820 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170907	2,432,616 	3,240 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170908	5,533,368 	7,368 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170909	6,605,796 	8,796 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170910	0 	0 			
SELL-IN	A	100 	가	20170911	0 	0 			
SELL-IN	A	100 	가	20170912	1,036,380 	1,380 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170913	540,720 	720 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170914	4,118,484 	5,484 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170915	1,838,448 	2,448 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170916	7,470,948 	9,948 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170917	0 	0 			
SELL-IN	A	100 	가	20170918	135,180 	180 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170919	1,906,464 	2,604 	35.8%	732 	1,140 
SELL-IN	A	100 	가	20170920	1,134,264 	1,512 	34.2%	750 	1,140 
SELL-IN	A	100 	가	20170921	4,190,580 	5,580 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170922	684,912 	912 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170923	7,732,296 	10,296 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170924	0 	0 			
SELL-IN	A	100 	가	20170925	216,288 	288 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170926	2,135,844 	2,844 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20170927	4,687,887 	6,276 	34.5%	747 	1,140 
SELL-IN	A	100 	가	20170928	15,327,888 	20,868 	35.6%	735 	1,140 
SELL-IN	A	100 	가	20170929	2,862,306 	3,840 	34.6%	745 	1,140 
SELL-IN	A	100 	가	20170930	4,749,324 	6,324 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171001	-1,117,488 	-1,488 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171002	0 	0 			
SELL-IN	A	100 	가	20171003	0 	0 			
SELL-IN	A	100 	가	20171004	0 	0 			
SELL-IN	A	100 	가	20171005	0 	0 			
SELL-IN	A	100 	가	20171006	10,273,680 	13,680 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171007	-171,228 	-228 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171008	0 	0 			
SELL-IN	A	100 	가	20171009	0 	0 			
SELL-IN	A	100 	가	20171010	0 	0 			
SELL-IN	A	100 	가	20171011	5,272,020 	7,020 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171012	2,901,864 	3,864 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171013	2,829,144 	3,768 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171014	5,920,884 	7,884 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171015	0 	0 			
SELL-IN	A	100 	가	20171016	63,084 	84 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171017	2,497,176 	3,456 	36.6%	723 	1,140 
SELL-IN	A	100 	가	20171018	1,486,980 	1,980 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171019	3,271,356 	4,356 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171020	1,640,184 	2,184 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171021	7,290,708 	9,708 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171022	0 	0 			
SELL-IN	A	100 	가	20171023	63,084 	84 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171024	1,432,908 	1,908 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171025	5,740,644 	7,644 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171026	3,884,172 	5,172 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171027	1,739,316 	2,316 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171028	8,944,071 	12,192 	35.6%	734 	1,140 
SELL-IN	A	100 	가	20171029	0 	0 			
SELL-IN	A	100 	가	20171030	0 	0 			
SELL-IN	A	100 	가	20171031	4,892,892 	6,516 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171101	2,586,444 	3,444 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171102	4,280,700 	5,700 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171103	1,838,448 	2,448 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171104	2,730,636 	3,636 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171105	0 	0 			
SELL-IN	A	100 	가	20171106	0 	0 			
SELL-IN	A	100 	가	20171107	838,116 	1,116 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171108	4,298,724 	5,724 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171109	1,820,424 	2,424 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171110	4,677,228 	6,228 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171111	7,452,924 	9,924 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171112	0 	0 			
SELL-IN	A	100 	가	20171113	360,480 	480 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171114	1,414,192 	2,028 	38.8%	697 	1,140 
SELL-IN	A	100 	가	20171115	279,372 	372 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171116	2,505,336 	3,336 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171117	3,776,008 	5,088 	34.9%	742 	1,140 
SELL-IN	A	100 	가	20171118	5,911,872 	7,872 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171119	0 	0 			
SELL-IN	A	100 	가	20171120	0 	0 			
SELL-IN	A	100 	가	20171121	4,361,808 	5,808 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171122	5,779,876 	7,800 	35.0%	741 	1,140 
SELL-IN	A	100 	가	20171123	666,888 	888 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171124	3,172,224 	4,224 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171125	10,866,093 	14,784 	35.5%	735 	1,140 
SELL-IN	A	100 	가	20171126	0 	0 			
SELL-IN	A	100 	가	20171127	0 	0 			
SELL-IN	A	100 	가	20171128	3,073,092 	4,092 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171129	7,209,600 	9,600 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171130	8,291,040 	11,040 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171201	207,276 	276 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171202	1,495,992 	1,992 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171203	0 	0 			
SELL-IN	A	100 	가	20171204	0 	0 			
SELL-IN	A	100 	가	20171205	2,721,624 	3,624 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171206	1,730,304 	2,304 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171207	1,081,440 	1,440 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171208	1,117,488 	1,488 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171209	9,156,192 	12,192 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171210	0 	0 			
SELL-IN	A	100 	가	20171211	0 	0 			
SELL-IN	A	100 	가	20171212	1,396,860 	1,860 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171213	1,324,764 	1,764 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171214	3,316,416 	4,416 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171215	4,821,420 	6,420 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171216	6,858,132 	9,132 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171217	0 	0 			
SELL-IN	A	100 	가	20171218	-19,272 	-24 	29.6%	803 	1,140 
SELL-IN	A	100 	가	20171219	1,072,428 	1,428 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171220	2,442,252 	3,252 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171221	2,045,724 	2,724 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171222	13,067,400 	17,400 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171223	1,685,244 	2,244 	34.1%	751 	1,140 
SELL-IN	A	100 	가	20171224	0 	0 			
SELL-IN	A	100 	가	20171225	0 	0 			
